,Topic,Count,Name,Representation,Representative_Docs
501,500,22,500_barfüssern_augustiner_dess_überzähligen,"['barfüssern', 'augustiner', 'dess', 'überzähligen', 'wünschungskomplimente', 'seelenfests', 'majemajestäten', 'patrizen', 'gotteslehre', 'abgesungene']","['Geburtsstadt Cesena hat 4 ihrer adelichen Patrizen hieher gesandt, um Seiner Heiligkeit ihre Glück wünschungskomplimente abzustatten; sie wurden Sonntags Abends vorgelassen, von dem heiligen Vater auf das leutse seligste empfangen, und zu überzähligen geheimen Kämmerern ernannt.| Livorno den  März.', 'Herrn Weyhbischof Freyherrn von Bern klau pontificaliter gehaltene Hochamt, und das am Ende unter Trompeten und Pau ckenschalle, und dem Gethöne aller Glocken besagter hohen Domkirche abgesungene Am brosianische Lobgesang verkündigte, und an welchem eine um so grössere Anzahl vorneh mer und niederer Einwohner durch ihre Bey wohnung Antheil nahmen, je zärtlichere Re gungen der Freude die hohe Veranlassung dieses Festes selbst in aller Herzen erwecket | Presburg, den  März.', 'Markt Gnm poltskirchen nach allerunterthänigsten Pflicht(| wegen glüklich erfolgter Kaiser Wahl Jhro Kai serlichen Majestät Francisci) GOtt dem Aller höchsten demütigsten Dank abgestattet, durch ein frolokendes Te Deum Landamus, welches unter Losbrennung deren Böllern, Pauken und Trompeten Schall, auch einer vortreflichen das zu eigends bestellten Musik mit vorhergehen der vortreflich und wol verabfaster Lob und Dank Rede, mit dem Topr aus dem Sonntäglichen Evangelio:  Simile est Reganen.']"
502,501,22,501_verdopplung_fiebers_desactushomagii_commœdiecommoedie,"['verdopplung', 'fiebers', 'desactushomagii', 'commœdiecommoedie', 'troitzla', 'bentenrieder', 'klouter', 'tiluomini', 'flantz', 'gehenket']","['Jhre Majestät speiseten zu Mittage bey dem Herrn General Leutenant von Rö der; von dar Jhre Majestät nach dem Hetz Platze um alda die Hetze derer dazu verordneten Thiere anzusehen fuh  Des Abends wurden Jhre Ma jestät von dem Obristen Flantz herrlich bewirtet.', 'Soidaten machten zu beyden Seiten Spal lier; die Kammerdiener, die Pagen, die Kapelläne, die  Sekretarien, und der Kammermeister des Monsignors, giengen voraus die Treppe hinan, und erwarteten auf der ersten Abtheilung den Rest der Gen tiluomini di bocca, und des königl.', 'Von der Krankheit so die Königin ge habt werden seithero folgend nähere Um stände gemeldet: den  dieses hatte die Königin keine Verdopplung des Fiebers; selbigen nach Mittags bediente man sich die ses ihres Ruhestands um deroselben ver schiedene mal nacheinander das Quinquina zu geben um die Verdopplung des Fiebers zu verhindern welche aber die gantze Nacht bis den  des Morgens gar hefftig ware; es hat aber das Qinqina dannoch die Würkung gehabt dass die Verdopplung ausgeblieben; der Puls Schlag ware zwar bey Jhrer Majestät noch nicht richtig und waren dieselbe noch nicht ohne Fieber; es wa re aber dasselbe gegen dem so sie verspühret hatte für wenig oder gar nicht zu rechnen.']"
503,502,22,502_abbate_khynast_zinzendorf_pottendorf,"['abbate', 'khynast', 'zinzendorf', 'pottendorf', 'zwiefalten', 'tscherkaskoi', 'bischoffenuz', 'trachen', 'selm', 'semperfrey']","['Reichs SemperFrey von und auff Khynast Freyherrn zu Trachen berg Erb  der Herrschafften Greiffenstein Khynast Gierschstorff und Böberröhrs dorff  auch zu Hungarn Königl.', 'zu Sachsen derzeit akkreditirter Gesandter am  preussischen Hofe, gebe hiemit all denjenigen, welche von dem Namen und Stammen der Gra fen und Herren von Zinzendorf und Pottendorf einige lehenbare Stücke, Gülten, Zehenten und Unterthanen geniessen, besitzen, und innenhaben, zu vernehmen: es sey nach dem Todfall meines seel.', 'Herr VenantiusPhilippPiersanti, Dom Herr.Herr  Abbate Placidus Eustachius Ghezzi.Herr  Abbate Nuntius Sperandio.Herr AbbateFrantz  Diversini.Herr  Abbate Joann Philipp Farnia.']"
504,503,22,503_eckberts_senthal_wanderungen_klau,"['eckberts', 'senthal', 'wanderungen', 'klau', 'bottiglia', 'eckharts', 'willebrand', 'cornificius', 'dekretisten', 'earl']","['und Herrn Grafen Karl Vinzenz von Salm, Mährischen Gubernial Rath.| Zu Dekretisten.', 'Prag  1  15  Wanderungen( die) des Ritter Eckberts von Klau senthal.', '52  steif  58  Die Wanderungen des Ritters Eckberts von Klau senthal.']"
505,504,22,504_formul_10tau_fruhezeitigen_frauenzimmerkleidern,"['formul', '10tau', 'fruhezeitigen', 'frauenzimmerkleidern', 'anzuerken', 'unseli', 'uiberreste', 'banksgefällsadministrations', 'theilhaber', 'soulagirung']","['Hierauf wurde die gedachte allerhöchste Resolution durch den Commissions actuarium, Herrn von Schlich ten, offentlich publiciret, und von dem Herrn Präsidenten, nach vorhero abgelesenen EidsEidsformul formul,| formul, die solenne Pflichten abgeleget, wor nach beyde obberührte der Herr Hof commissa rius, und der neu vorgestellte Herr Regierungs Präsident von dem Vorder österreichischen Re giments haus, sich wieder, hinwegbegeben.', 'Man liess es nicht blos bey Bit ten und Vorstellungen bewenden, son dern schritt sogar zu Drohungen: So wurde unter dem   durch zwey ungenannte angebliche Theilhaber der Compagnie, mittelst der kleinen Post, an  Laurenz Cox, ein Parlamentsglied, einen Brief gesandt, worinn ihm und allen, welche, die, ofterwähnte Bill begünstigen würden, Mord und Tod an gekündiget wurde, mit dem Motto: Nemomeimpunelacessit.', 'Der Kommissar des Seewesens zu Bilbao, welcher jüngst erwähntermassen den Amerikanischen Kaper eigenmächtig anhalten lassen, hat einen scharfen VerVerweis weis, nebst dem Auftrag von Hofe be kommen, diesem Freybeuter vielmehr mit allen nöthigen Hilfsmitteln zu willfah  Man bemerkt dass die Provinzialisten in ihrer Flagge ein rothes Feld mit 13 Zwerchstreisfen führen, welche die Ver bindung der 13 Kolonien unter sich vor stellen.']"
506,505,22,505_obermayer_bittner_gernh_arcbiep,"['obermayer', 'bittner', 'gernh', 'arcbiep', 'seidel', 'trasaignies', 'anm', 'elinger', 'agathadireggiodem', 'augustiui']","['3)Hellwig  cont.Bostelmann & Consort.', 'Dem   Bittner,   Apotheker,    alt 3  anm Rennweg   Dem  Paul Dering, burgl.', 'Anna bey denen  Huef eisen in der Kott gassen alt   Dem Math Grueber Geigerns.']"
507,506,22,506_ständigen_leihen_keene_gesuchet,"['ständigen', 'leihen', 'keene', 'gesuchet', 'mäemati', 'condolenzcondolenzcomplimentencomplimenten', 'gratulation', 'gewähr', 'flachses', 'vonseitender']","['Wie man vernimmt so hat der hiesige Magistrat seine nach Londen abgefertigte Deputirte zuruk beruffen aldieweilen sie ih rem beständigen Bericht gemäss ausser was die Ablegung der  CondolenzCondolenzComplimentenComplimenten wegen Absterbens des Königs und dann die darauf erfolgte Gratulation an jetzt re gierende  Gross Britannische Majestät wegen glüklicher Besteigung des Throns beträffe in denen aufhabenden Commissions in keine Weise aufkommen sondern dass sie zur Abthuung deren etwannigen Misshel ligkeiten bloss allein an die Königlich und Churfürstl.', 'Jhre  die Kaiserin Königin erklären also hiedurch auf die nachdrücklichste und fey erlichste Weise, dass sie die Republik Pohlen als einen souverainen und unabhängigen Staat betrachten, der ohne die allermindeste Ein schränkung des Rechts, welches ihm seine Ge setze und Verfassungen versichern, sich selbst einen König, vermittelst einer freywilligen Wahl zu geben, geniessen, und dass folglich nicht die mindeste Ausschliessung Statt finden muss, wofern nicht beydes diese Unabhängig keit und diese unumschränkte Freyheit verletzet werden soll, welche weder Ausnahnen, noch Ein schränkungen verstatten, und welche mit Gewalt thätigkeiten, oder auch nur mit Drohungen durch aus nicht bestehen können, deren man sich bedienen könte, um die Ausübung dessen zu stöhren.', 'Daher ist auch der Feldmarschall, Graf  Wurm ser, veranlasset worden, sich an den Can ton Basel mit nachstehendem Schreiben zu wenden: Pflicht und Erfüllung meiner Oblie genheit, fordern mich auf, an den Tag zu legen, wie aufallend und unerwartet mir es seyn müsse, zu vernehmen, dass auf meine Vorstellungen, und ungeachtet der täglich anwachsenden Französischen Macht bey Bruntrut,vonSeitender SchweitzerischenBundesgenossenschaftjene zweckmässigen und einzig beruhigenden Massregeln zu ergreifen sind versäumt wor den, die doch für mich nur der einzige und ernstliche Beweis jener Neutralitäts Gesinnungen seyn können, von welchen Sie mir, in Jhrer geehrtesten Zuschrift vom  April, Erwähnung thun.']"
508,507,21,507_1749___,"['1749', '', '', '', '', '', '', '', '', '']","['1749.', '1749.', '1749.']"
509,508,21,508_truhe_möget_segne_gott,"['truhe', 'möget', 'segne', 'gott', 'dir', 'dein', 'offenbarten', 'streckung', 'führerin', 'geschiedenen']","['Salbung auch immerdar vollkomlich auff Euch bleibe damit Jhr was Unrecht von gantzen Hertzen meyden und was Euer Seelen Nutzlich ist jederzeit gedencken wünschen und thun lernet und möget mit Beystand unsers HERRN JESU Christi welcher mit GOtt dem Vatter und demselben Heiligen Geist lebt und regiert wahrer GOTT von Ewigkeit zu Ewigkeit Amen.', 'Hat er aber eine nähere Offenbarung von Gott, und seinen Pflichten, wie sie der Christ hat, und höhere Mittel seinen Verstand zu erleuchten, und sein Herz zu bessern, und zu bilden, als die Mittel der Natur sind; so muss ihm die natürliche Religion die Führerin zur ge offenbarten werden, oder er treibt den schändlichsten Missbrauch mit der Vernunft, und wird ein Rebell gegen die Weisheit, und Güte Gottes.” Die allgemeinen Hilfsmittel aber, die und die Natur darbent, zur Tugend zu gelangen, und uns in derselben zu befestigen, lassen sich von einem forschenden Verstande leicht entdecken.', 'Wie von Dresden die Nachricht kommen so befindete sich die Durchleuchtigste Erz Herzogin bey Jhro Majestät der Königin zu Prezsch; Zu besagtem Dresden seye kürzlich ein Weib von  Jahren noch einmal gestorben als welche schon im Jahr 1680. drey Täg und Nächt tod gehalten: aber wie der nachdeme sie schon in der Toden Truhe zugemacht gelegen leben dig worden auch solang geschrien und geklopffet bis man die To den Truhe wieder eröfnet da dan der Mann bey Ersehung seines wieder lebenden Weibs so erschrocken dass er darüber gähling gestorben und nachgehends in der für das Weib verfertigten Toden Truhe be graben worden.| MAn begehrt dass die Besatzung mit allen Ehren ihrem Gewehr fliegenden Fahnen und klingendem Spiel nebst Vorherführung zwey Metalle ner Stucken jedes acht Pfund schiesend samt allem zugehörigen um nach dem Span nischen Lager gebracht zuwerden frey ausziehen möge; Es solle der Besatzung auch erlaubt seyn all ihre Bagage und Pferde mit sich zuführen; Zu dem End solle der Feind alles Schiff Weesen und nöhtige Fahrzeuge gegen der in Friedens Zeit gewöhnlich billigen Bezahlung verschaffen; Es soll ebenfals einem jeden Soldaten erlaubt seyn auf vier Täg Zwieback und andere Lebens Mitlen mit sich zunehmen.']"
510,509,21,509_hafnermeisterswerk_verkaufsvor_unterhaltend_lustig,"['hafnermeisterswerk', 'verkaufsvor', 'unterhaltend', 'lustig', 'papageyen', 'descendenten', '151', 'kaufen', 'capuciner', 'anwesen']","['bestimmet ist, so haben diejenige, welche gedachtes Haus samt Hafnermeisterswerk statt zu kaufen gedenken, an obbemeldten Tag fruh um 8 Uhr vor uns auf alhiesigen Rath haus zu erscheinen, wo sodann mit den Meist bietenden der Kauf geschlossen werden soll.', 'Auf der hohen Brücke  151 im ersten Stock auf der hintern Stiege sind mehrere Papageyen, und ein sehr kleiner Capuciner Asse, welcher sehr lustig und unterhaltend ist, täglich zu verkaufen.| Reitpferde zu verkaufen.', 'Auf der hohen Brücke  151 im ersten Stock auf der hintern Stiege sind mehrere Papageyen, und ein sehr kleiner Capuciner Affe, welcher sehr lustig und unterhaltend ist, täglich zu verkaufen.| Mineralien von ausgesuchtester Seltenheit und Grösse, fast lauter Handstuffen für grosse ansehnliche Mineral lien Cabinete, sind im Hause  769, oder so genannten grossen Küssdenpfening, nächst dem ro then Thurm auf der Hauptstiege im ersten Stock Wohnungs Nro 7 täglich Nachmittag von 2 Uhr bis 5 Uhr Abends gegen baare Bezahlung zu sehen, und zu verkaufen; Liebhaber können sich allda um bemeldte Zeit einfinden.| Fleischhauergerechtigkeit zu verkaufen.']"
511,510,21,510_verbrennung_zahlungsob_centig_glaz,"['verbrennung', 'zahlungsob', 'centig', 'glaz', 'prat', 'ligationen', 'vorerwähnten', 'allgemein', 'dingnisse', 'ständische']","['geh Rath, oberst Hof und Land Jägermeister, Ritter des goldenen Vliesses, Herr Graf zu Hardegg Glaz  zu verordnen geruhet, dass die 51 Tagwerk 600 Quadrat Klafter Wiesen im vorerwähnten kleinen Prat ter auf weitere 3 Jahre in Bestand verlas sen, dieser Bestand öffentlich feilgebothen, und mit dem Meistbietenden ein ordentlicher Kontrakt errichtet werden soll, dessen Be dingnisse bey diesem.', 'Rath, oberste Hof und Land Jägermeister, Ritter des goldenen Vliesses, Herr Graf zu Hardegg Glaz  zu verordnen geruhet, dass die 51 Tagwerke 600 Quadrat Klafter Wiesen im vorerwähnten kleinen Prat ter auf weitere 3 Jahre in Bestand verlas sen, dieser Bestand öffentlich feilgebothen, und mit dem Meistbietenden ein ordentlicher Kontrakt errichtet werden soll, dessen Be dingnisse bey diesem k  obersten Hof und Landjägermeisteramte von jedermann vorhin ein einzusehen sind.', 'des   Edicts    Jänner 1763. die von Zeit der den  August 1763. von 140000.   pro Centig allgemein Ständischer Zahlungsob ligationen erfolgten Verbrennung, so nach in das allgemein Ständische Creditsdeputations Zahlamt weiter eingegangene sowohl  als  pro centige allgemein Ständische Darlehns und Zahlungsob ligationen aus dem Umlauf gebracht, und vermit telst öffentlicher Verbrennung gänzlich getilget wer den sollen, so wird mit dieser Verbrennung, und zwar an  pro centig allgemein unterm  Julii 1761.ausgestelltenStändischenDarlehnsobliga tionenmit 1565.']"
512,511,21,511_ausflucht_gestrafet_ausrede_vertauscht,"['ausflucht', 'gestrafet', 'ausrede', 'vertauscht', 'versenden', 'handlungsdiener', 'geldbusse', 'schenkt', 'könn', 'umlauf']","['Als ich vor einigen Jahren in Erfahrung brachte, dass der Buchdrucker Trassler in Brünn mir des Herrn  Krünitz ökonomisch tech nologische Encyklopädie nachdrucken wollte, so warne ich das Publicum vor solchen Nach druck, weil zu befürchten wäre, dass ein, zu mahl beschleunigter und übereilter Nachdruck vieler Bände wenig corect gerathen dürfte, und dass dieses insonderheit die bey den Re cepten wieder Menschen und Vieh Krankhei ten vorkommenden medicinischen Gewicht Zei den treffen könnte, welche letztere Fehler bey der Verfertigung und dem Gebrauche der Ar zeneyen von unausbleiblich schädlichen Folgen sind.LeideristdiesemeineVermuthungund Besorgniss nur zu sehr eingetroffen.', 'für jedes in Umlauf gesetzte Exemplar, und wenn er diese Geldbusse nicht erlegen könn te, mit Arrest und am Leibe gestrafet, und dabey jede Ausflucht, die Exemplare nicht verkauft, sondern vertauscht, oder ver schenkt, oder die Auflage auf auswärtige Bestellung und zum Versenden in das Aus land veranstaltet zu haben, so wie jede Ausrede auf Versehen der Handlungsdiener oder Handlanger als ungültig verworfen.', 'für jedes in Umlauf gesetzte Exemplar, und wenn er diese Geldbusse nicht erlegen könn te, mit Arrest und am Leibe gestrafet, und dabey jede Ausflucht,dieExemplarenicht verkauft, sondern vertauscht, oder ver schenkt, oder die Auslage auf auswärtige Bestellung und zum Versenden in das Aus land veranstaltet zu haben, so wie jede Ausrede auf Versehen der Handlungsdiener oder Handlange als ungültig verworfen.']"
513,512,21,512_schebecken_schiffmühle_linienschiffen_reihenschiffen,"['schebecken', 'schiffmühle', 'linienschiffen', 'reihenschiffen', 'sailer', 'fregaten', 'gatten', 'schaluppen', 'fahrzeugen', 'linienschiffe']","['Die Seemacht zählt 9 Li nienschiffe von 80 und mehr Kanonen; 42 von 70, 7 von 68 und 2 von 64, zu sammen 60 Linienschiffe, ferner 46 FreFregaten gaten und Schebecken, ohne diejenigen zu zählen, die ziemlich zahlreich im Baue begriffen sind.| Frankreich.', 'Die dem Ritter Emo zu gedachter Unternehmung anver traute Flotte besteht aus 10 Linienschiffen und Fregaten, 6 Bombarden und meh reren Schebecken, nebst den nöthigen Trans portschiffen.', 'Damals bestand selbe aus 4 Linienschiffen, 6 Fregatten( wovon 2 Maltesische sind) 10 Schebecken, 3 Bri gantinen, 1 Belandren, 15 Bombardier und, 10 Kanonier Schaluppen, 9 Län dungs Schaluppen, 4 Branders, und 4 mit Pulver beladenen Fahrzeugen, nebst 2 Aotsoschiffen.']"
514,513,21,513_einspannen_roveranygasse_faust_freyjahre,"['einspannen', 'roveranygasse', 'faust', 'freyjahre', 'strotzischen', 'geräthschaf', 'wohnun', 'hauptgasse', 'wallfisch', 'hengsten']","['Jn der obern Schenkenstrasse im  Graf Traunischen Haus  54 stehen extra schöne Pferde, Hengsten, als 2 kastanienbraune, 8 Jahr alt und 17 Faust hoh, zum Einspannen, oder in jedem Gestütte als Bescheller zu ge brauchen; dann 2 Lichtbraun, auf englisch ge stützt, einer 4 Jahr, 15 Faust, der andere 5 Jahr, 16 Faust hoh, man kann sie auch zum Einspannen abrichten; und ein schwarzbraune Hengstfollen, 4 Jahr, 14 Faust hoh, so von einem spanischen Hengsten ist, zu verkaufen.', 'Wer selbe bestehen will, hat sich in der Weihburggasse  978 im dritten Stock bey der Hausfrau anzumelden.| Hauszuverkaufen Jn der Strotzischen Hauptgasse ist ein Haus, welches gut gebaut, noch Freyjahre, 10 Wohnun gen, nebst einen kleinen Gärtel hat, zu verkau  Das Mehrere ist in der Roveranygasse in der Apotheke zum Wallfisch zu vernehmen.| Licit.', 'Liebhaber dessen haben sich daher nach Belieben bey dem Hausinhaber an bemeldten Ort einzufinden, allwo das weitere abgeredet und festgemacht werden kann.| Hauszuverkaufen Jn der Strotzischen Hauptgasse ist ein Haus, welches gut gebaut, noch Freyjahre, 10 Wohnun gen, nebst einen kleinen Gärtel hat, zu verkau  Das Mehrere ist in der Roveranygasse in der Apotheke zum Wallfisch zu vernehmen.| Schloss und andere Gebäude sammt Gärten und Wiesen zu verkaufen.']"
515,514,21,514_parentreprise_kopitz_arbeiten_fortifikati,"['parentreprise', 'kopitz', 'arbeiten', 'fortifikati', 'jnnsbrug', 'brunngrabungsarbeiten', 'werkmeistern', 'stokadorer', 'steinmezmeister', 'entrepriselustige']","['und Königlichen Majestät schändlichster Weiss zuunterschreiben mindesten Abscheu ge tragen andurch derley schandvollen Laster taten ihres Stands gäntzlich vergessende dero Geistliche Würde und heiligen Beruff zur Augenscheinlichen Aergernuss der ge samten Christenheit mit dem Mackel unauss löschlicher Verleumdung zubeschmützen sich nicht entsetzet haben; Zugeschweigen dass die vornemmere auss diesen Rebellischen Geistl.', 'Von dem   Generaldirektorium des Genie und Fortifikationswesens wird hiemit jedermä niglich bekannt gemacht: welchergestalt, da nun mehr auf allerhöchsten Befehl      zu den Bau einer neuen Festung in dem König reich Böheim, und zwar zu Kopitz nächst Leut meriz geschritten wird, die bey diesem Festungs bau vorkommende Maurer Stokadorer Pfla ster Ziegeldecker und Brunngrabungsarbeiten einem verständigen Maurermeister, die Stein mezarbeiten einem erfahrnen Steinmezmeister, säntliche Zimmerarbeiten aber einem des Werks kündigen Zimmermeister parEntreprise über lassen, die Arbeitspreise bey der auf den  Jä ner 1781 festgesetzten öffentlichen Feilbietung zu Leutmeritz bey der dort aufgestellten Fortifikati onsdirektion ordentlich bedungen, sofort mit je nen Werkmeistern, die sich zu den annehmlichsten Preisen herbeylassen, förmliche Kontrakte errich tet werden sollen; den umständlichen Aufsatz, was für Arbeiten eigentlich bey der von nun an zu benennen kommenden neuen Festung There sienstadt vorgenommen werden, und die Be dingnissen, unter welchen diese Arbeiten parEntreprise zu geben entschlossen worden, kann jeder EntrepriseLustige bey den Fortifikationsdi striktsdirektionen zu Wien, Pressburg, Prag, Brünn, Jnnsbrug, und bey der Fortifikationsdi rektion von der Theresienstadt vorläufig einse  Daher diejenige, welche diese Arbeiten zu übernehmen gedenken, sich bey vorgedachter Forti fikationsdirektion von der Theresienstadt in gehöriger Zeit zu melden, und zu legitimiren haben werden.| Londen den  Wintermonat.', 'Von dem   Generaldirektorium des Genie und Fortiftkationswesens wird hiemit jedermä niglich bekannt gemacht: welchergestalt, da nun mehr auf allerhöchsten Befehl      zu den Bau einer neuen Festung in dem König reich Böheim, und zwar zu Kopitz nächst Leut meriz geschritten wird, die bey diesem Festungs bau vorkommende Maurer Stokadorer Pfla ster Ziegeldecker und Brunngrabungsarbeiten einem verständigen Maurermeister, die Stein mezarbeiten einem erfahrnen Steinmezmeister, sämmtliche Zimmerarbeiten aber einem des Werks kündigen Zimmermeister parEntreprise über lassen, die Arbeitspreise bey der auf den  Jäner 1781. festgesetzten öffentlichen Feilbietung zu Leutmeritz bey der dort aufgestellten Fortifikati onsdirektion ordentlich bedungen, sofort mit jenen Werkmeistern, die sich zu den annehmlichsten Preisen herbeylassen, förmliche Kontrakte errich tet werden sollen; den umständlichen Aufsatz, was für Arbeiten eigentlich in Kopitz vorgenom men werden, und die Bedingnissen, unter welchen diese Arbeiten parEntreprise zu gehen ent schlossen worden, kann jeder Entrepriselustige bey den Fortifikations direktionen zu Wien, Presssurg, Prag, Brünn, Jnnsbrug, und bey der Fortifikations direktion in Kopitz vorläuflg einse  Daher diejenige, welche diese Arbeiten zu übernehmen gedenken, sich bey vorgedachter Forti fikatioAnhang zur Wiener Zeitung  N    Sonnabend den  Christmonat 1780.| Schreiben aus Boston den  Herbstm.']"
516,515,21,515_leitner_15000_hindangegen_bulargläubiger,"['leitner', '15000', 'hindangegen', 'bulargläubiger', 'fideikom', 'zessionarin', 'defrain', 'missherrschaft', 'grosssicharts', 'böckstall']","['Schafferisches Waarenlager  Von dem Magistrate der  k Haupt und Ke sidenzstadt Wien wird hiemit bekannt gemacht: es sey auf Ansuchen des Joseph Georg Schafferischen Massevertretters,   Schlager, in die öf fentliche Feilbietung des in die Joseph Georg Schaf ferische Konkursmassa gehörigen, auf 8242  41  geschätzten Waarenlagers, als Zucker, Kaffee, Jn digo, Farben, Spezerey, und Materialwaaren, dann Gewölbseinrichtung, Silbers, Leibskleidung, Wäsch, und Zimmereinrichtung gewilliget, und hiezu 2 Termine, nämlich für den ersten der  September, und für den zweyten der  Okto ber   mit dem Beysatze bestimmt worden, dass, wenn dieses Waarenlager, und übrige Effekten we der bey dem ersten noch zweyten Termin um die Schätzung, oder darüber an Mann gebracht wer den könnten, dieselben bis nach geschöpften Klassi fikationsurtheil, und ausgetragenen Vorrechten auf bewahret werden würden.', 'Von dem Magistrate der   Haupt und Re sidenzstadt Wien wird den auf der von dem  Grafen  Wurmbrand an die Johanna Leitner ausgestellten, auf die Früchte von dessen Fideikom missherrschaft Schiehleuten in Steyermarik intabu lirten Obligation  15000  vorgemerkten Ta bulargläubiger, als Defrain, und Karl Welschl, oder vielmehr der Zessionarin Theresia Grünwald, bekannt gemacht: Es habe der Sigmund  Mösz, wider die Johanna Leitner, die Feilbietung der der Geklagten eigenthümlichen obbemeldten Graf Phi lipp Wurmbrandischen Obligation bewirket, wor über der  Oktober, und der  November   mit dem Beysatze bestimmt worden, dass, wenn diese Obligation bey dem zweyten Termin um den Werth  15000  nicht an Mann gebracht wür de, dieselbe bey dem dritten auch unter der bemeld ten Summe hindangegen würde.', 'Von dem Magistrate der   Haupt und Re sidenzstadt Wien wird den auf der von dem  Grafen  Wurmbrand an die Johanna Leitner ausgestellten, auf die Früchte von dessen Fideikom missherrschaft Schiehleuten in Steyermark intabu lirten Obligation  15000  vorgemerkten Ta bulargläubiger, als Defrain, und Karl Wetschl, oder vielmehr der Zessionarin Theresia Grünwald, bekannt gemacht: Es habe der Sigmund  Mösz, wider die Johanna Leitner, die Feilbietung der der Geklagten eigenthümlichen obbemeldten Graf Phi lipp  Wurmbrandischen Obligation bewirket, worworüber über der  Oktober, und der  November   mit dem Beysatze bestimmt worden, dass, wenn diese Obligation bey dem zweyten Termin um den Werth  15000  nicht an Mann gebracht wür de, dieselbe bey dem dritten auch unter der bemeld ten Summe hindangegen würde.']"
517,516,21,516_nachtlichter_kassette_frent_sicherzustellen,"['nachtlichter', 'kassette', 'frent', 'sicherzustellen', 'iams', 'observatorio', 'sicocky', 'husch', 'arrobesvigognawollen', 'capis']","['bey dem grünen Pfauen im Bettler Gässel alt   Dem Mich. Questenthaller Lackeys.', 'Aus America.| Williamsburg in Virginien,   AM Samstag langte der Herr Ward Fähnrich der Compagnie des CapiS iams Frent, mit einem Jndianischen Botten, der von dem Vice könig ab geschickt worden, von dem Ohio fluss hier  Sie bringen uns die Na richt, dass den  vorigen Monats die Franzosen, in ungefehr 1000.', 'Um jedermann der ächten solcher Nachtlichter sicherzustellen, wird in ei nem jeden Schachterl mein Namen, der Grund, Logie und Hausnumer unter folgender Ad dresse gesetzt werden: Nachtlichter verfertiget von Franz Sauer, logiert in der Rossau beym rothen Thor  69 in der grünen Thorgasse.| Verschiedene Mittel.']"
518,517,21,517_stadtrichter_antea_köln_strat,"['stadtrichter', 'antea', 'köln', 'strat', 'ut', 'magi', 'burgerschaft', 'goujon', 'kapitula', 'albitte']","['Zu Köln Burgerschaft, contra den Magi strat daselbst ⁊  ut antea.', 'Zu Köln Burgerschaft, contra den Magi strat daselbst ⁊  ut antea.', 'Zu Köln Burgerschaft, contra den Magi strat daselbst ⁊  ut antea.']"
519,518,21,518_1759_1758__,"['1759', '1758', '', '', '', '', '', '', '', '']","['1759.', '1759.', '1759.']"
520,519,21,519_juden_judenschaft_zugelassen_foderlichen,"['juden', 'judenschaft', 'zugelassen', 'foderlichen', 'cutionsführerin', 'feilgebotene', 'gütlische', 'koschnidin', 'vermögenssteuer', 'ausserdem']","['Es haben hierbey die Juden sehr vieles verlo ren, und wird versichert, dass unter an dern ein hiesiger Jude einen Verlust von  tausend Pfund Sterlingns besorge.', 'Wenn in der Zwischenzeit das Vermögen eines Juden um mehr als 1000 Gulden angewachsen ist, oder abgenommen hat, wird die Vermögenssteuer erhöhet oder vermin dert.', 'Einige schlugen vor, das Kopf Geld derer Juden auf einen Ducaten von je dem Kopf jährlich bey allen denen, welche das  Jahr erreichet, zu setzen, in der Meinung, dass eine gute Summa davon herauskommen würde.']"
521,520,21,520_fleche_empfindung_obergespann_blücher,"['fleche', 'empfindung', 'obergespann', 'blücher', 'fausse', 'lisbourne', 'kräsnoschtschockow', 'luckowkin', 'graffagnana', 'vicegespans']","['Der General major Graf Tottleben, hat mir bezeuget, dass der Brigadier Kräsnoschtschockow, desgleichen die Cosacken obristen Popow datschkin, und Luckowkin, ferner die Hussaren obristen Soritsch, und Knäs Amilochorow eine besondere Tapferkeit bewiesen.', 'Heute ist eine Frantzösische Tarta ne in  Tagen von Tunis angelangt dero Patron berichtet dass der allda regierende Bey noch immer fort fah re verschiedene Tyranneyen zu verüben und der abgesetzte Bey sich in Susa befände welche Stadt ihm unter thänig wäre.| Parma   Dieser Tagen seynd abermal nach beobachteter gewöhnlicher Contumatz einige Compagnien Teutsche Soldaten zu Mantua angelanget und werden selbe in Kurtzen weiters sowol in die sem als dem Staat von Meiland ver theilet werden.| Rom   Nachdeme den Kaiserl.', 'Stellen sie sich vor, wie der ehrwürdige und sonst den Feinden so fürchterliche Feldmarschall Nadasd seinem Schwiegersohne, dem Herrn Obergespann, den gewöhnlichen Kuss mit einem vor Liebe überfliessenden Herzen gab, dessen innerster Empfindung in jedem Zuge seines verehrungswürdi gen Angesichts abgeschildert war, wie der Herr Obergespann auf seinem Stuhle sitzend von 3 Komitatensern in die Höhe gehoben, und mit einem, allen Anwesen den durch die Stärke der Empfindung, so zu sagen, entrissen und frohlockenden Vivatrufen, begrüsst wurde, wie unauf haltbare Freudenthränen über die mann baren und bartigten Wangen herabroll — Beschreiben kann ich ihnen den Auftritt nicht,— empfunden hab ich — Die hierauf gehaltene weitläu figere Anrede des Herrn Komitatsno tarius von Hadrovich war ein Muster der wahren und ächten Beredsamkeit.']"
